year,iso3,country,who_region,latitude,longitude,syndrome,confirmed_cases,deaths,recovered,case_fatality_rate,hospitalized,icu_admissions,human_to_human_cases,mortality_rate_per_100k,avg_temp_c,rainfall_mm,humidity_pct,ndvi,rodent_abundance_index,deforestation_km2,densidad_poblacional
2010,ARG,Argentina,AMRO,-34.6,-58.4,HPS,112,39.0,73.0,0.3482,85.0,30.0,1.0,34.51,15.125,1764.2,69.9875,0.475625,0.5567500000000001,23.61,
2011,ARG,Argentina,AMRO,-34.6,-58.4,HPS,105,33.0,72.0,0.3143,85.0,22.0,2.0,31.13,14.225,1533.0,68.875,0.632125,0.64475,20.24,
2012,ARG,Argentina,AMRO,-34.6,-58.4,HPS,74,25.0,49.0,0.3378,64.0,33.0,2.0,33.33,14.3875,1862.5,64.375,0.51625,0.811375,16.77,
2013,ARG,Argentina,AMRO,-34.6,-58.4,HPS,68,23.0,45.0,0.3382,61.0,25.0,4.0,33.33,14.1875,2072.0,70.525,0.5925,0.575375,27.46,
2014,ARG,Argentina,AMRO,-34.6,-58.4,HPS,96,29.0,67.0,0.3021,80.0,20.0,0.0,29.9,14.4875,1547.6,72.0875,0.607375,0.659,20.99,
2015,ARG,Argentina,AMRO,-34.6,-58.4,HPS,84,27.0,57.0,0.3214,68.0,27.0,6.0,31.76,15.1125,1139.3,71.375,0.535,0.75425,25.770000000000003,
2016,ARG,Argentina,AMRO,-34.6,-58.4,HPS,98,27.0,71.0,0.2755,88.0,28.0,0.0,27.27,14.1875,1792.6,74.425,0.6214999999999999,0.543125,23.92,
2017,ARG,Argentina,AMRO,-34.6,-58.4,HPS,94,22.0,72.0,0.234,87.0,42.0,4.0,23.16,13.6,1588.7,68.1875,0.36,0.608125,24.97,
2018,ARG,Argentina,AMRO,-34.6,-58.4,HPS,111,39.0,72.0,0.3514,87.0,45.0,4.0,34.82,13.675,2042.2,69.7,0.568875,0.669625,28.78,
2019,ARG,Argentina,AMRO,-34.6,-58.4,HPS,99,36.0,63.0,0.3636,80.0,22.0,1.0,36.0,14.825,2271.9,67.525,0.5645,0.7085,26.94,
2020,ARG,Argentina,AMRO,-34.6,-58.4,HPS,86,30.0,56.0,0.3488,79.0,19.0,3.0,34.48,14.65,1573.6,70.5625,0.55525,0.614,33.17,
2021,ARG,Argentina,AMRO,-34.6,-58.4,HPS,97,24.0,73.0,0.2474,75.0,26.0,7.0,24.49,14.5625,2338.7,72.275,0.534,0.674625,29.18,
2022,ARG,Argentina,AMRO,-34.6,-58.4,HPS,104,31.0,73.0,0.2981,92.0,33.0,8.0,29.52,14.85,1537.9,67.4125,0.507625,0.663875,27.84,
2023,ARG,Argentina,AMRO,-34.6,-58.4,HPS,146,37.0,109.0,0.2534,124.0,42.0,3.0,25.17,15.575,2330.4,71.0125,0.525625,0.8282499999999999,36.28,
2024,ARG,Argentina,AMRO,-34.6,-58.4,HPS,85,27.0,58.0,0.3176,72.0,19.0,1.0,31.4,14.05,1817.6,69.2,0.647375,0.722,27.6,
2025,ARG,Argentina,AMRO,-34.6,-58.4,HPS,118,29.0,89.0,0.2458,91.0,36.0,9.0,24.37,14.6,2128.7,69.85,0.672875,0.83325,37.39,
2010,BRA,Brazil,AMRO,-15.8,-47.9,HPS,50,15.0,35.0,0.3,39.0,21.0,0.0,29.41,21.0625,2749.0,69.1,0.564,0.6485,17.56,
2011,BRA,Brazil,AMRO,-15.8,-47.9,HPS,45,19.0,26.0,0.4222,39.0,19.0,0.0,41.3,19.75,2773.1,66.3375,0.5327500000000001,0.566625,15.37,
2012,BRA,Brazil,AMRO,-15.8,-47.9,HPS,44,16.0,28.0,0.3636,37.0,11.0,0.0,35.56,22.0875,3080.9,68.425,0.549,0.671625,18.1,
2013,BRA,Brazil,AMRO,-15.8,-47.9,HPS,51,15.0,36.0,0.2941,38.0,16.0,0.0,28.85,20.8,3142.2,71.15,0.520875,0.592,23.8,
2014,BRA,Brazil,AMRO,-15.8,-47.9,HPS,43,19.0,24.0,0.4419,40.0,20.0,0.0,43.18,20.25,3154.9,65.6375,0.630875,0.600625,28.3,
2015,BRA,Brazil,AMRO,-15.8,-47.9,HPS,55,13.0,42.0,0.2364,51.0,19.0,0.0,23.21,21.2375,2733.7,68.03750000000001,0.473125,0.5569999999999999,20.08,
2016,BRA,Brazil,AMRO,-15.8,-47.9,HPS,75,33.0,42.0,0.44,69.0,23.0,0.0,43.42,20.7875,3900.7,69.5,0.553875,0.674625,26.82,
2017,BRA,Brazil,AMRO,-15.8,-47.9,HPS,53,22.0,31.0,0.4151,43.0,12.0,0.0,40.74,21.15,3649.3,70.775,0.61475,0.732375,26.82,
2018,BRA,Brazil,AMRO,-15.8,-47.9,HPS,51,22.0,29.0,0.4314,45.0,18.0,0.0,42.31,21.1125,1998.1,63.2375,0.6074999999999999,0.677625,31.23,
2019,BRA,Brazil,AMRO,-15.8,-47.9,HPS,36,13.0,23.0,0.3611,34.0,9.0,0.0,35.14,21.1,2278.1,74.375,0.57475,0.72675,30.94,
2020,BRA,Brazil,AMRO,-15.8,-47.9,HPS,48,20.0,28.0,0.4167,43.0,19.0,0.0,40.82,21.9375,3043.5,69.925,0.405875,0.7853749999999999,25.09,
