year,iso3,country,who_region,latitude,longitude,syndrome,confirmed_cases,deaths,recovered,case_fatality_rate,hospitalized,icu_admissions,human_to_human_cases,mortality_rate_per_100k,humidity_pct,ndvi,rodent_abundance_index,deforestation_km2,densidad_poblacional,avg_temp_c,rainfall_mm
2010,FIN,Finland,EURO,60.2,24.9,HFRS,1599,14.0,1585.0,0.0088,1345.0,485.0,0.0,0.88,69.1,0.509,0.6072500000000001,12.87,,4.603821,1.8916546
2010,RUS,Russia,EURO,55.8,37.6,HFRS,7364,236.0,7128.0,0.032,6571.0,3271.0,0.0,3.2,65.325,0.5925,0.57875,9.85,,5.6749268,1.7098417
2010,DEU,Germany,EURO,52.5,13.4,HFRS,267,2.0,265.0,0.0075,242.0,125.0,0.0,0.75,72.65,0.40025,0.51275,7.8,,8.141907,2.3070693
2010,USA,United States,AMRO,38.9,-77.0,HPS,31,10.0,21.0,0.3226,25.0,8.0,0.0,31.25,53.1125,0.714375,0.653,27.26,,13.947235,2.8838155
2010,CHN,China,WPRO,39.9,116.4,HFRS,17373,624.0,16749.0,0.0359,14526.0,4715.0,0.0,3.59,54.75,0.432,0.5825,13.02,,11.61554,1.5284841
2010,KOR,South Korea,WPRO,37.6,127.0,HFRS,585,21.0,564.0,0.0359,441.0,128.0,0.0,3.58,75.225,0.4855,0.62475,11.12,,10.704712,3.70122
2010,BRA,Brazil,AMRO,-15.8,-47.9,HPS,50,15.0,35.0,0.3,39.0,21.0,0.0,29.41,69.1,0.564,0.6485,17.56,,22.046509,3.598319
2010,ARG,Argentina,AMRO,-34.6,-58.4,HPS,112,39.0,73.0,0.3482,85.0,30.0,1.0,34.51,69.9875,0.475625,0.5567500000000001,23.61,,17.178528,2.802018
2010,CHL,Chile,AMRO,-33.4,-70.7,HPS,46,15.0,31.0,0.3261,43.0,15.0,3.0,31.91,72.325,0.518125,0.672625,18.74,,15.064087,1.5085744
2011,FIN,Finland,EURO,60.2,24.9,HFRS,1418,13.0,1405.0,0.0092,1276.0,346.0,0.0,0.92,75.45,0.6445,0.4875,11.28,,6.4692383,2.1549149
2011,RUS,Russia,EURO,55.8,37.6,HFRS,5674,191.0,5483.0,0.0337,4416.0,1564.0,0.0,3.37,64.14999999999999,0.55775,0.5237499999999999,15.14,,5.7714844,1.6464849
2011,DEU,Germany,EURO,52.5,13.4,HFRS,194,2.0,192.0,0.0103,160.0,86.0,0.0,1.03,75.7,0.4479999999999999,0.6115,11.09,,10.150238,1.9208314
2011,USA,United States,AMRO,38.9,-77.0,HPS,35,11.0,24.0,0.3143,30.0,11.0,0.0,30.56,52.3625,0.5475,0.64525,22.09,,14.171722,3.5333319
2011,CHN,China,WPRO,39.9,116.4,HFRS,17670,595.0,17075.0,0.0337,13842.0,4156.0,0.0,3.37,59.5375,0.634,0.6725,21.32,,12.410645,1.4114213
2011,KOR,South Korea,WPRO,37.6,127.0,HFRS,681,35.0,646.0,0.0514,642.0,243.0,0.0,5.13,70.3,0.57,0.51425,11.12,,10.624512,4.4243293
2011,BRA,Brazil,AMRO,-15.8,-47.9,HPS,45,19.0,26.0,0.4222,39.0,19.0,0.0,41.3,66.3375,0.5327500000000001,0.566625,15.37,,21.408386,3.977374
